# log(eps) FAR FRR
100.0 0.5 0.0
95.0 0.5125 0.0
90.0 0.5128125 0.0
85.0 0.5128203124999999 0.0
80.0 0.5128205078125 0.0
75.0 0.5128205126953125 0.0
70.0 0.5128205128173828 0.0
65.0 0.5128205128204346 0.0
60.0 0.5128205128205108 0.0
55.0 0.5128205128205128 0.0
50.0 0.5128205128205128 0.0
45.0 0.5128205128205128 0.0
40.0 0.5128205128205128 0.0
35.0 0.5128205128205128 0.0
30.0 0.5128205128205128 0.0
25.0 0.5128205128205128 0.0
20.0 0.5128205128205128 0.0
15.0 0.5112580128205128 0.0
10.0 0.5018439503205128 0.0
9.0 0.5000460987580129 0.0
8.0 0.5000011524689503 0.0
7.0 0.49375002881172375 0.0
6.0 0.4904687507202931 0.0
5.0 0.4810117187680073 0.0
4.0 0.46983779296920025 0.0
3.0 0.44138609633938153 0.0
2.5 0.4128338948327269 0.0
2.0 0.35047236252233327 0.0
1.5 0.2575780969418462 0.004166666666666667
1.0 0.06311558878718253 0.08135416666666667
0.5 0.0015778897196795632 0.48953385416666667
0.0 3.944724299198908E-5 0.5122383463541667
